image,class_id,class_name,confidence,x1,y1,x2,y2
0.png,56,chair,0.926,0,63,522,678
0.png,56,chair,0.776,859,319,956,460
0.png,0,person,0.739,1185,296,1221,349
0.png,56,chair,0.687,778,307,885,459
0.png,56,chair,0.603,950,347,1106,491
0.png,0,person,0.589,1220,299,1257,394
0.png,60,dining table,0.568,41,425,1279,708
0.png,39,bottle,0.558,575,71,682,350
0.png,56,chair,0.372,831,291,861,323
0.png,56,chair,0.366,1097,398,1279,620
0.png,56,chair,0.348,874,290,907,317
0.png,56,chair,0.325,309,144,749,556
0.png,56,chair,0.3,704,256,747,293
0.png,56,chair,0.286,856,291,883,321
0.png,56,chair,0.286,773,293,814,338
0.png,56,chair,0.28,704,255,751,307
0.png,56,chair,0.272,527,217,582,302
0.png,56,chair,0.271,739,259,773,287
0.png,56,chair,0.251,800,288,834,312
1.png,56,chair,0.926,0,62,522,676
1.png,56,chair,0.764,860,320,957,460
1.png,0,person,0.714,1185,295,1221,349
1.png,56,chair,0.692,776,307,885,458
1.png,0,person,0.667,1220,299,1256,396
1.png,56,chair,0.591,950,347,1106,491
1.png,39,bottle,0.56,575,71,681,350
1.png,60,dining table,0.508,59,424,1279,708
1.png,56,chair,0.348,831,291,862,324
1.png,56,chair,0.328,874,290,907,317
1.png,56,chair,0.324,1121,347,1151,398
1.png,56,chair,0.322,309,143,749,557
1.png,56,chair,0.319,704,256,747,296
1.png,56,chair,0.299,1099,398,1279,621
1.png,56,chair,0.299,855,291,884,321
1.png,56,chair,0.276,739,259,773,286
1.png,56,chair,0.255,768,261,797,286
2.png,56,chair,0.929,0,63,521,675
2.png,56,chair,0.784,859,320,956,459
2.png,56,chair,0.731,775,307,886,458
2.png,0,person,0.714,1185,295,1221,348
2.png,0,person,0.649,1220,299,1256,395
2.png,39,bottle,0.59,575,71,682,350
2.png,56,chair,0.574,950,347,1110,492
2.png,60,dining table,0.564,26,422,1279,708
2.png,56,chair,0.474,1101,399,1279,621
2.png,56,chair,0.393,831,292,862,324
2.png,56,chair,0.389,704,256,748,307
2.png,56,chair,0.333,1122,347,1151,397
2.png,56,chair,0.299,874,290,908,317
2.png,56,chair,0.295,309,144,749,556
2.png,56,chair,0.292,773,292,815,338
2.png,56,chair,0.29,768,261,797,287
2.png,56,chair,0.283,856,291,885,321
2.png,56,chair,0.283,739,259,773,287
2.png,56,chair,0.271,798,288,834,312
2.png,56,chair,0.262,673,254,711,303
3.png,56,chair,0.928,0,63,523,678
3.png,56,chair,0.795,860,319,957,460
3.png,0,person,0.726,1185,295,1221,349
3.png,56,chair,0.626,779,307,888,458
3.png,60,dining table,0.541,220,423,1276,708
3.png,56,chair,0.533,951,347,1105,492
3.png,39,bottle,0.53,574,71,681,351
3.png,0,person,0.406,1220,299,1257,394
3.png,56,chair,0.361,874,290,907,317
3.png,56,chair,0.316,809,306,884,458
3.png,56,chair,0.314,832,292,862,324
3.png,56,chair,0.307,309,145,749,556
3.png,56,chair,0.304,704,256,747,292
3.png,56,chair,0.301,739,259,772,286
3.png,56,chair,0.285,773,291,815,338
3.png,56,chair,0.274,855,291,883,321
3.png,56,chair,0.267,704,255,750,306
3.png,56,chair,0.265,1097,398,1279,621
3.png,56,chair,0.264,799,288,835,312
3.png,56,chair,0.261,1122,347,1151,394
4.png,56,chair,0.923,0,63,522,679
4.png,56,chair,0.772,859,319,957,460
4.png,0,person,0.735,1185,296,1221,349
4.png,56,chair,0.723,776,307,887,458
4.png,39,bottle,0.614,575,71,681,350
4.png,60,dining table,0.491,84,425,1279,708
4.png,0,person,0.481,1221,299,1255,395
4.png,56,chair,0.427,951,347,1108,492
4.png,56,chair,0.362,831,292,861,323
4.png,56,chair,0.348,704,255,747,301
4.png,56,chair,0.344,874,290,907,318
4.png,56,chair,0.332,1121,347,1151,398
4.png,56,chair,0.308,855,291,882,320
4.png,56,chair,0.301,309,143,749,556
4.png,56,chair,0.289,951,345,1279,620
4.png,56,chair,0.281,739,259,773,286
5.png,56,chair,0.923,0,63,520,678
5.png,56,chair,0.806,860,320,956,459
5.png,0,person,0.704,1185,295,1221,349
5.png,0,person,0.673,1220,300,1257,395
5.png,56,chair,0.657,778,307,885,458
5.png,39,bottle,0.556,575,71,681,350
5.png,60,dining table,0.518,232,423,1277,708
5.png,56,chair,0.408,831,292,862,324
5.png,56,chair,0.385,951,347,1110,487
5.png,56,chair,0.356,1122,347,1151,398
5.png,56,chair,0.313,874,290,907,317
5.png,56,chair,0.303,800,288,834,312
5.png,56,chair,0.298,856,291,883,321
5.png,56,chair,0.296,704,256,747,294
5.png,56,chair,0.28,739,259,773,286
5.png,56,chair,0.278,773,292,815,338
5.png,56,chair,0.275,308,144,749,556
5.png,56,chair,0.259,704,255,750,307
